cutting_line_id,plate_id,seq_no
L1,P003106,1
L1,P005911,2
L1,P002497,3
L1,P005593,4
L1,P009608,5
L1,P003676,6
L1,P004033,7
L1,P004599,8
L1,P005012,9
L1,P005210,10
L1,P002973,11
L1,P006981,12
L1,P000228,13
L1,P008064,14
L1,P006688,15
L1,P008439,16
L1,P000180,17
L1,P005134,18
L1,P008291,19
L1,P009717,20
L1,P007581,21
L1,P007975,22
L1,P000045,23
L1,P005495,24
L1,P003280,25
L1,P002126,26
L1,P003682,27
L1,P007167,28
L1,P001752,29
L1,P004237,30
L1,P006072,31
L1,P007288,32
L1,P003448,33
L1,P002389,34
L1,P002777,35
L1,P005429,36
L1,P001538,37
L1,P008278,38
L1,P004430,39
L1,P007157,40
L1,P009264,41
L1,P005431,42
L1,P009784,43
L1,P000782,44
L1,P004391,45
L1,P005805,46
L1,P009597,47
L1,P005870,48
L1,P003411,49
L1,P000901,50
L1,P009901,51
L1,P006149,52
L1,P004323,53
L1,P007205,54
L1,P001739,55
L1,P004262,56
L1,P001847,57
L1,P000766,58
L1,P002823,59
L1,P002467,60
L1,P005893,61
L1,P006740,62
L1,P001152,63
L1,P001218,64
L1,P002913,65
L1,P007285,66
L1,P006019,67
L1,P002233,68
L1,P002278,69
L1,P001012,70
L1,P008146,71
L1,P003046,72
L1,P002338,73
L1,P006006,74
L1,P004835,75
L1,P001800,76
L1,P006161,77
L1,P008029,78
L1,P004540,79
L1,P000574,80
L1,P005409,81
L1,P000160,82
L1,P007027,83
L1,P000938,84
L1,P000508,85
L1,P001776,86
L1,P009846,87
L1,P003140,88
L1,P002965,89
L1,P002907,90
L1,P005345,91
L1,P001063,92
L1,P009336,93
L1,P002706,94
L1,P006020,95
L1,P003292,96
L1,P001407,97
L1,P005445,98
L1,P007565,99
L1,P001963,100
L1,P005854,101
L1,P006199,102
L1,P001954,103
L1,P002752,104
L1,P009415,105
L1,P006361,106
L1,P002222,107
L1,P002992,108
L1,P003608,109
L1,P000192,110
L1,P001975,111
L1,P004188,112
L1,P003008,113
L1,P008386,114
L1,P001452,115
L1,P004818,116
L1,P008546,117
L1,P001198,118
L1,P004398,119
L1,P005850,120
L1,P002165,121
L1,P007447,122
L1,P009130,123
L1,P004423,124
L1,P000167,125
L1,P009382,126
L1,P007516,127
L1,P004801,128
L1,P002421,129
L1,P009327,130
L1,P002918,131
L1,P007202,132
L1,P001312,133
L1,P004831,134
L1,P001275,135
L1,P001458,136
L1,P008932,137
L1,P007501,138
L1,P005961,139
L1,P003381,140
L1,P008466,141
L1,P004853,142
L1,P002769,143
L1,P003121,144
L1,P001871,145
L1,P009190,146
L1,P009470,147
L1,P004268,148
L1,P001518,149
L1,P001786,150
L1,P002050,151
L1,P000567,152
L1,P009575,153
L1,P005299,154
L1,P004167,155
L1,P009242,156
L1,P007165,157
L1,P005969,158
L1,P003739,159
L1,P008713,160
L1,P003734,161
L1,P001678,162
L1,P002178,163
L1,P002194,164
L1,P005825,165
L1,P000447,166
L1,P005046,167
L1,P001639,168
L1,P000294,169
L1,P005802,170
L1,P009132,171
L1,P004455,172
L1,P004501,173
L1,P006917,174
L1,P002115,175
L1,P002602,176
L1,P006954,177
L1,P004149,178
L1,P004206,179
L1,P005230,180
L1,P002531,181
L1,P001672,182
L1,P000614,183
L1,P003030,184
L1,P007274,185
L1,P002060,186
L1,P005107,187
L1,P007954,188
L1,P004823,189
L1,P002719,190
L1,P005082,191
L1,P006890,192
L1,P000334,193
L1,P002507,194
L1,P008739,195
L1,P000816,196
L1,P005797,197
L1,P008673,198
L1,P006825,199
L1,P004204,200
L1,P003529,201
L1,P007336,202
L1,P007445,203
L1,P004548,204
L1,P008035,205
L1,P006214,206
L1,P000690,207
L1,P005698,208
L1,P003487,209
L1,P007719,210
L1,P004641,211
L1,P006353,212
L1,P006088,213
L1,P002070,214
L1,P000575,215
L1,P006596,216
L1,P004573,217
L1,P009006,218
L1,P002972,219
L1,P006003,220
L1,P006562,221
L1,P009457,222
L1,P006710,223
L1,P001233,224
L1,P000463,225
L1,P003395,226
L1,P000132,227
L1,P002922,228
L1,P003379,229
L1,P004349,230
L1,P007708,231
L1,P003186,232
L1,P009712,233
L1,P001539,234
L1,P004834,235
L1,P001727,236
L1,P008185,237
L1,P008759,238
L1,P007457,239
L1,P001060,240
L1,P003288,241
L1,P004467,242
L1,P004196,243
L1,P000610,244
L1,P008175,245
L1,P004512,246
L1,P001465,247
L1,P000301,248
L1,P008591,249
L1,P007145,250
L1,P003061,251
L1,P001561,252
L1,P002705,253
L1,P002658,254
L1,P004902,255
L1,P006676,256
L1,P009114,257
L1,P005490,258
L1,P005616,259
L1,P001084,260
L1,P004131,261
L1,P000698,262
L1,P001374,263
L1,P000797,264
L1,P000724,265
L1,P007391,266
L1,P009792,267
L1,P007514,268
L1,P008921,269
L1,P009546,270
L1,P001037,271
L1,P002625,272
L1,P003813,273
L1,P002726,274
L1,P004676,275
L1,P008618,276
L1,P009427,277
L1,P002489,278
L1,P006083,279
L1,P005765,280
L1,P007655,281
L1,P002361,282
L1,P000161,283
L1,P000537,284
L1,P008953,285
L1,P001909,286
L1,P002416,287
L1,P009896,288
L1,P005516,289
L1,P004200,290
L1,P006996,291
L1,P007686,292
L1,P006705,293
L1,P000237,294
L1,P004282,295
L1,P003720,296
L1,P000284,297
L1,P009816,298
L1,P005977,299
L1,P001997,300
L1,P008892,301
L1,P008598,302
L1,P000402,303
L1,P005294,304
L1,P005968,305
L1,P002242,306
L1,P008936,307
L1,P006679,308
L1,P001108,309
L1,P004812,310
L1,P004871,311
L1,P007985,312
L1,P000717,313
L1,P000482,314
L1,P001857,315
L1,P009463,316
L1,P009442,317
L1,P001381,318
L1,P008828,319
L1,P002874,320
L1,P007648,321
L1,P003281,322
L1,P008849,323
L1,P009829,324
L1,P008468,325
L1,P001342,326
L1,P000275,327
L1,P009030,328
L1,P003475,329
L1,P007976,330
L1,P003466,331
L1,P001178,332
L1,P003874,333
L1,P009031,334
L1,P007454,335
L1,P003461,336
L1,P002548,337
L1,P009475,338
L1,P001273,339
L1,P007904,340
L1,P000078,341
L1,P002064,342
L1,P004526,343
L1,P002612,344
L1,P004950,345
L1,P006460,346
L1,P000936,347
L1,P008162,348
L1,P002502,349
L1,P006203,350
L1,P005983,351
L1,P008431,352
L1,P004050,353
L1,P008796,354
L1,P000617,355
L1,P007662,356
L1,P003450,357
L1,P000033,358
L1,P000957,359
L1,P009660,360
L1,P001940,361
L1,P005937,362
L1,P004041,363
L1,P004343,364
L1,P006659,365
L1,P007851,366
L1,P004821,367
L1,P003915,368
L1,P003632,369
L1,P000113,370
L1,P006269,371
L1,P000240,372
L1,P005155,373
L1,P009800,374
L1,P007050,375
L1,P004082,376
L1,P003923,377
L1,P002475,378
L1,P008344,379
L1,P002506,380
