plate_id,area,stack_id,level,thickness_mm,width_mm,length_mm,weight_ton,project_id,segment_id,status,eligible_lines
P000001,B,B-S097,12,18.0,3000.0,14000.0,5.654,PRJ064,SEG0713,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000002,C,C-S082,11,6.0,2200.0,10000.0,1.007,PRJ004,SEG0670,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000003,C,C-S079,18,20.0,1800.0,12000.0,3.618,PRJ039,SEG0108,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000004,B,B-S080,16,20.0,2200.0,6000.0,1.894,PRJ022,SEG0450,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000005,B,B-S048,11,20.0,2000.0,10000.0,3.14,PRJ068,SEG0347,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000006,A,A-S088,13,18.0,2500.0,8000.0,2.803,PRJ072,SEG0089,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000007,C,C-S043,12,16.0,2000.0,8000.0,1.95,PRJ041,SEG0329,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000008,B,B-S012,11,50.0,2200.0,10000.0,8.816,PRJ001,SEG0153,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000009,D,D-S056,21,10.0,1800.0,9000.0,1.202,PRJ043,SEG0395,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000010,C,C-S094,19,10.0,2500.0,10000.0,1.995,PRJ067,SEG0042,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000011,B,B-S041,20,40.0,2500.0,12000.0,10.053,PRJ031,SEG0343,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000012,D,D-S112,11,50.0,1500.0,14000.0,8.997,PRJ069,SEG0597,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000013,D,D-S009,1,30.0,1500.0,14000.0,4.756,PRJ054,SEG0659,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000014,C,C-S033,2,20.0,2000.0,10000.0,3.403,PRJ048,SEG0207,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000015,D,D-S095,15,14.0,2500.0,8000.0,2.076,PRJ035,SEG0183,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000016,A,A-S032,1,20.0,2800.0,12000.0,4.87,PRJ027,SEG0481,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000017,B,B-S040,1,8.0,2200.0,12000.0,1.752,PRJ033,SEG0073,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000018,D,D-S075,5,8.0,3000.0,6000.0,1.098,PRJ029,SEG0483,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000019,D,D-S093,5,8.0,2200.0,9000.0,1.183,PRJ020,SEG0509,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000020,C,C-S044,21,10.0,1500.0,16000.0,1.757,PRJ026,SEG0588,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000021,B,B-S052,12,20.0,3000.0,12000.0,5.257,PRJ062,SEG0273,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000022,A,A-S026,8,20.0,1500.0,6000.0,1.384,PRJ031,SEG0522,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000023,A,A-S105,4,30.0,2000.0,16000.0,6.943,PRJ038,SEG0609,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000024,D,D-S055,7,6.0,2000.0,16000.0,1.548,PRJ031,SEG0660,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000025,D,D-S037,5,10.0,2500.0,12000.0,2.55,PRJ059,SEG0137,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000026,A,A-S041,16,20.0,1500.0,8000.0,1.775,PRJ069,SEG0353,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000027,C,C-S107,12,14.0,2000.0,16000.0,3.82,PRJ007,SEG0326,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000028,A,A-S075,15,20.0,1500.0,8000.0,1.842,PRJ058,SEG0160,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000029,B,B-S028,6,14.0,3000.0,14000.0,4.961,PRJ015,SEG0142,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000030,D,D-S015,18,12.0,2500.0,8000.0,2.03,PRJ058,SEG0172,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000031,A,A-S114,20,8.0,2000.0,10000.0,1.212,PRJ049,SEG0186,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000032,D,D-S115,7,10.0,1800.0,9000.0,1.387,PRJ052,SEG0013,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000033,C,C-S008,4,30.0,2200.0,6000.0,2.838,PRJ011,SEG0434,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000034,A,A-S031,5,10.0,1800.0,14000.0,2.128,PRJ030,SEG0241,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000035,B,B-S032,6,6.0,2000.0,6000.0,0.582,PRJ050,SEG0534,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000036,C,C-S037,19,16.0,1500.0,14000.0,2.742,PRJ067,SEG0129,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000037,B,B-S020,7,25.0,2500.0,6000.0,2.928,PRJ058,SEG0336,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000038,A,A-S110,21,8.0,3000.0,9000.0,1.76,PRJ016,SEG0410,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000039,C,C-S100,11,8.0,2000.0,6000.0,0.714,PRJ077,SEG0652,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000040,C,C-S062,21,25.0,1500.0,9000.0,2.842,PRJ016,SEG0642,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000041,A,A-S026,7,20.0,1800.0,12000.0,3.384,PRJ028,SEG0222,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000042,D,D-S119,4,50.0,1800.0,6000.0,4.333,PRJ080,SEG0787,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000043,C,C-S061,19,50.0,1500.0,6000.0,3.234,PRJ023,SEG0269,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000044,D,D-S037,15,30.0,2000.0,8000.0,4.044,PRJ015,SEG0097,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000045,C,C-S003,21,16.0,1800.0,12000.0,2.974,PRJ001,SEG0186,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000046,B,B-S106,1,30.0,1800.0,12000.0,5.007,PRJ065,SEG0530,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000047,C,C-S007,14,6.0,1500.0,6000.0,0.4,PRJ007,SEG0082,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000048,D,D-S100,13,50.0,1500.0,9000.0,5.035,PRJ049,SEG0560,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000049,B,B-S045,11,18.0,2000.0,10000.0,3.088,PRJ075,SEG0245,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000050,A,A-S101,15,8.0,2500.0,10000.0,1.682,PRJ048,SEG0695,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000051,C,C-S046,11,18.0,2200.0,12000.0,3.641,PRJ078,SEG0654,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000052,A,A-S050,7,18.0,1800.0,6000.0,1.551,PRJ042,SEG0597,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000053,D,D-S012,20,20.0,1500.0,14000.0,3.066,PRJ065,SEG0268,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000054,B,B-S021,2,16.0,2500.0,12000.0,3.767,PRJ060,SEG0645,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000055,D,D-S033,11,8.0,2000.0,6000.0,0.717,PRJ066,SEG0030,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000056,D,D-S027,19,25.0,3000.0,8000.0,4.602,PRJ064,SEG0246,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000057,D,D-S109,16,16.0,2000.0,9000.0,2.096,PRJ039,SEG0696,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000058,A,A-S001,12,16.0,1800.0,9000.0,1.86,PRJ080,SEG0026,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000059,A,A-S006,8,6.0,3000.0,14000.0,1.899,PRJ079,SEG0453,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000060,D,D-S076,12,14.0,2800.0,9000.0,2.581,PRJ047,SEG0236,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000061,B,B-S028,7,8.0,2800.0,10000.0,1.788,PRJ014,SEG0120,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000062,C,C-S115,6,12.0,2500.0,9000.0,2.271,PRJ039,SEG0656,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000063,C,C-S002,10,40.0,2500.0,10000.0,8.516,PRJ071,SEG0719,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000064,B,B-S086,18,18.0,2200.0,6000.0,1.872,PRJ037,SEG0033,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000065,A,A-S088,15,20.0,1500.0,10000.0,2.305,PRJ042,SEG0363,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000066,A,A-S077,16,12.0,1500.0,12000.0,1.533,PRJ071,SEG0488,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000067,A,A-S011,5,16.0,1800.0,16000.0,3.371,PRJ051,SEG0032,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000068,A,A-S080,10,16.0,2800.0,10000.0,3.585,PRJ080,SEG0513,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000069,B,B-S001,2,6.0,1500.0,10000.0,0.7,PRJ003,SEG0617,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000070,D,D-S050,19,10.0,1500.0,9000.0,0.98,PRJ012,SEG0559,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000071,C,C-S075,9,10.0,1800.0,14000.0,2.113,PRJ012,SEG0276,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000072,C,C-S109,9,20.0,3000.0,10000.0,4.561,PRJ019,SEG0187,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000073,C,C-S090,11,30.0,2800.0,9000.0,5.35,PRJ009,SEG0571,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000074,A,A-S102,17,30.0,2200.0,6000.0,3.176,PRJ042,SEG0187,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000075,D,D-S006,2,16.0,1800.0,10000.0,2.356,PRJ028,SEG0146,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000076,D,D-S098,14,8.0,1500.0,16000.0,1.618,PRJ070,SEG0388,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
