area,stack_id,max_levels
A,A-S001,21
A,A-S002,21
A,A-S003,21
A,A-S004,21
A,A-S005,21
A,A-S006,21
A,A-S007,21
A,A-S008,21
A,A-S009,21
A,A-S010,21
A,A-S011,21
A,A-S012,21
A,A-S013,21
A,A-S014,21
A,A-S015,21
A,A-S016,21
A,A-S017,21
A,A-S018,21
A,A-S019,21
A,A-S020,21
A,A-S021,21
A,A-S022,21
A,A-S023,21
A,A-S024,21
A,A-S025,21
A,A-S026,21
A,A-S027,21
A,A-S028,21
A,A-S029,21
A,A-S030,21
A,A-S031,21
A,A-S032,21
A,A-S033,21
A,A-S034,21
A,A-S035,21
A,A-S036,21
A,A-S037,21
A,A-S038,21
A,A-S039,21
A,A-S040,21
A,A-S041,21
A,A-S042,21
A,A-S043,21
A,A-S044,21
A,A-S045,21
A,A-S046,21
A,A-S047,21
A,A-S048,21
A,A-S049,21
A,A-S050,21
A,A-S051,21
A,A-S052,21
A,A-S053,21
A,A-S054,21
A,A-S055,21
A,A-S056,21
A,A-S057,21
A,A-S058,21
A,A-S059,21
A,A-S060,21
A,A-S061,21
A,A-S062,21
A,A-S063,21
A,A-S064,21
A,A-S065,21
A,A-S066,21
A,A-S067,21
A,A-S068,21
A,A-S069,21
A,A-S070,21
A,A-S071,21
A,A-S072,21
A,A-S073,21
A,A-S074,21
A,A-S075,21
A,A-S076,21
A,A-S077,21
A,A-S078,21
A,A-S079,21
A,A-S080,21
A,A-S081,21
A,A-S082,21
A,A-S083,21
A,A-S084,21
A,A-S085,21
A,A-S086,21
A,A-S087,21
A,A-S088,21
A,A-S089,21
A,A-S090,21
A,A-S091,21
A,A-S092,21
A,A-S093,21
A,A-S094,21
A,A-S095,21
A,A-S096,21
A,A-S097,21
A,A-S098,21
A,A-S099,21
A,A-S100,21
A,A-S101,21
A,A-S102,21
A,A-S103,21
A,A-S104,21
A,A-S105,21
A,A-S106,21
A,A-S107,21
A,A-S108,21
A,A-S109,21
A,A-S110,21
A,A-S111,21
A,A-S112,21
A,A-S113,21
A,A-S114,21
A,A-S115,21
A,A-S116,21
A,A-S117,21
A,A-S118,21
A,A-S119,21
A,A-S120,21
B,B-S001,21
B,B-S002,21
B,B-S003,21
B,B-S004,21
B,B-S005,21
B,B-S006,21
B,B-S007,21
B,B-S008,21
B,B-S009,21
B,B-S010,21
B,B-S011,21
B,B-S012,21
B,B-S013,21
B,B-S014,21
B,B-S015,21
B,B-S016,21
B,B-S017,21
B,B-S018,21
B,B-S019,21
B,B-S020,21
B,B-S021,21
B,B-S022,21
B,B-S023,21
B,B-S024,21
B,B-S025,21
B,B-S026,21
B,B-S027,21
B,B-S028,21
B,B-S029,21
B,B-S030,21
B,B-S031,21
B,B-S032,21
B,B-S033,21
B,B-S034,21
B,B-S035,21
B,B-S036,21
B,B-S037,21
B,B-S038,21
B,B-S039,21
B,B-S040,21
B,B-S041,21
B,B-S042,21
B,B-S043,21
B,B-S044,21
B,B-S045,21
B,B-S046,21
B,B-S047,21
B,B-S048,21
B,B-S049,21
B,B-S050,21
B,B-S051,21
B,B-S052,21
B,B-S053,21
B,B-S054,21
B,B-S055,21
