plate_id,area,stack_id,level,thickness_mm,width_mm,length_mm,weight_ton,project_id,segment_id,status,eligible_lines
P000001,A,A-S038,1,50.0,3000.0,9000.0,10.739,PRJ047,SEG0506,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000002,C,C-S067,12,20.0,2500.0,8000.0,3.342,PRJ014,SEG0083,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000003,C,C-S022,6,30.0,2500.0,6000.0,3.597,PRJ066,SEG0746,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000004,A,A-S089,8,10.0,2000.0,16000.0,2.686,PRJ023,SEG0534,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000005,C,C-S012,16,6.0,1500.0,12000.0,0.914,PRJ057,SEG0090,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000006,A,A-S001,6,50.0,2200.0,12000.0,9.82,PRJ024,SEG0208,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000007,B,B-S107,6,16.0,2800.0,9000.0,3.23,PRJ017,SEG0345,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000008,A,A-S114,9,16.0,1500.0,6000.0,1.022,PRJ016,SEG0052,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000009,D,D-S099,1,10.0,2800.0,9000.0,2.046,PRJ039,SEG0753,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000010,B,B-S047,8,8.0,3000.0,8000.0,1.655,PRJ057,SEG0618,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000011,B,B-S077,2,14.0,2500.0,6000.0,1.751,PRJ037,SEG0234,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000012,B,B-S013,12,14.0,1500.0,14000.0,2.332,PRJ079,SEG0616,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000013,D,D-S040,1,10.0,2200.0,14000.0,2.438,PRJ049,SEG0467,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000014,B,B-S008,6,12.0,1800.0,9000.0,1.456,PRJ066,SEG0254,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000015,B,B-S022,7,10.0,2800.0,9000.0,1.937,PRJ029,SEG0098,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000016,A,A-S109,7,12.0,2200.0,16000.0,3.228,PRJ066,SEG0357,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000017,C,C-S015,5,25.0,2200.0,6000.0,2.655,PRJ046,SEG0411,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000018,A,A-S020,10,12.0,1800.0,9000.0,1.525,PRJ052,SEG0161,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000019,D,D-S117,5,25.0,3000.0,8000.0,4.639,PRJ024,SEG0484,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000020,B,B-S052,3,25.0,1800.0,16000.0,6.158,PRJ032,SEG0362,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000021,B,B-S102,8,30.0,3000.0,6000.0,4.039,PRJ045,SEG0651,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000022,B,B-S087,15,8.0,2200.0,9000.0,1.213,PRJ075,SEG0223,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000023,B,B-S009,9,16.0,2200.0,16000.0,3.981,PRJ039,SEG0261,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000024,A,A-S081,7,10.0,2500.0,12000.0,2.403,PRJ017,SEG0718,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000025,A,A-S073,3,10.0,2000.0,14000.0,2.357,PRJ056,SEG0479,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000026,A,A-S060,13,18.0,3000.0,14000.0,6.188,PRJ056,SEG0194,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000027,B,B-S063,7,8.0,1800.0,10000.0,1.056,PRJ020,SEG0326,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000028,A,A-S109,4,12.0,2800.0,16000.0,4.164,PRJ036,SEG0153,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000029,C,C-S053,13,8.0,1800.0,14000.0,1.607,PRJ025,SEG0166,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
P000030,B,B-S027,8,20.0,2500.0,12000.0,4.421,PRJ065,SEG0498,in_yard,L1|L2|L3|L4|L5|L6|L7|L8
