task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P002549_P002550_1,relocate,P002550,C1,0.0,66.0
R_L1_P002549_P002551_2,relocate,P002551,C1,66.0,132.0
R_L1_P002549_P002552_3,relocate,P002552,C1,132.0,198.0
R_L1_P002549_P002553_4,relocate,P002553,C1,198.0,264.0
R_L1_P002549_P002554_5,relocate,P002554,C1,264.0,330.0
R_L1_P002549_P002555_6,relocate,P002555,C1,330.0,396.0
R_L1_P002549_P002556_7,relocate,P002556,C1,396.0,462.0
R_L1_P002549_P002557_8,relocate,P002557,C1,462.0,528.0
R_L1_P002549_P002558_9,relocate,P002558,C1,528.0,594.0
R_L1_P002549_P002559_10,relocate,P002559,C1,594.0,660.0
R_L1_P002549_P002560_11,relocate,P002560,C1,660.0,726.0
OUT_L1_P002549_1,outbound,P002549,C1,726.0,792.0
R_L1_P002531_P002532_12,relocate,P002532,C1,792.0,858.0
R_L1_P002531_P002533_13,relocate,P002533,C1,858.0,924.0
R_L1_P002531_P002534_14,relocate,P002534,C1,924.0,990.0
R_L1_P002531_P002535_15,relocate,P002535,C1,990.0,1056.0
R_L1_P002531_P002536_16,relocate,P002536,C1,1056.0,1122.0
R_L1_P002531_P002537_17,relocate,P002537,C1,1122.0,1188.0
R_L1_P002531_P002538_18,relocate,P002538,C1,1188.0,1254.0
R_L1_P002531_P002539_19,relocate,P002539,C1,1254.0,1320.0
R_L1_P002531_P002540_20,relocate,P002540,C1,1320.0,1386.0
R_L1_P002531_P002541_21,relocate,P002541,C1,1386.0,1452.0
R_L1_P002531_P002542_22,relocate,P002542,C1,1452.0,1518.0
R_L1_P002531_P002543_23,relocate,P002543,C1,1518.0,1584.0
R_L1_P002531_P002544_24,relocate,P002544,C1,1584.0,1650.0
OUT_L1_P002531_2,outbound,P002531,C1,1650.0,1716.0
R_L1_P005119_P005120_25,relocate,P005120,C1,1716.0,1782.0
OUT_L1_P005119_3,outbound,P005119,C1,1782.0,1848.0
R_L1_P002126_P002127_26,relocate,P002127,C1,1848.0,1914.0
R_L1_P002126_P002128_27,relocate,P002128,C1,1914.0,1980.0
OUT_L1_P002126_4,outbound,P002126,C1,1980.0,2046.0
OUT_L1_P004736_5,outbound,P004736,C1,2046.0,2112.0
R_L1_P005038_P005039_28,relocate,P005039,C1,2112.0,2178.0
R_L1_P005038_P005040_29,relocate,P005040,C1,2178.0,2244.0
OUT_L1_P005038_6,outbound,P005038,C1,2244.0,2310.0
R_L1_P004788_P004789_30,relocate,P004789,C1,2310.0,2376.0
R_L1_P004788_P004790_31,relocate,P004790,C1,2376.0,2442.0
R_L1_P004788_P004791_32,relocate,P004791,C1,2442.0,2508.0
R_L1_P004788_P004792_33,relocate,P004792,C1,2508.0,2574.0
R_L1_P004788_P004793_34,relocate,P004793,C1,2574.0,2640.0
R_L1_P004788_P004794_35,relocate,P004794,C1,2640.0,2706.0
R_L1_P004788_P004795_36,relocate,P004795,C1,2706.0,2772.0
R_L1_P004788_P004796_37,relocate,P004796,C1,2772.0,2838.0
R_L1_P004788_P004797_38,relocate,P004797,C1,2838.0,2904.0
R_L1_P004788_P004798_39,relocate,P004798,C1,2904.0,2970.0
R_L1_P004788_P004799_40,relocate,P004799,C1,2970.0,3036.0
R_L1_P004788_P004800_41,relocate,P004800,C1,3036.0,3102.0
