cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,1,P002549,726.0,726.0,792.0
L1,2,P002531,1650.0,1650.0,1716.0
L1,3,P005119,1782.0,1782.0,1848.0
L1,4,P002126,1980.0,1980.0,2046.0
L1,5,P004736,2046.0,2046.0,2112.0
L1,6,P005038,2244.0,2244.0,2310.0
L1,7,P004788,3102.0,3102.0,3168.0
L1,8,P006271,3234.0,3234.0,3300.0
L1,9,P002202,3696.0,3696.0,3762.0
L1,10,P000228,4554.0,4554.0,4620.0
L1,11,P003255,5214.0,5214.0,5280.0
L1,12,P004883,6138.0,6138.0,6204.0
L1,13,P001098,6600.0,6600.0,6666.0
L1,14,P002556,6666.0,6666.0,6732.0
L1,15,P005423,6798.0,6798.0,6864.0
L1,16,P005554,7788.0,7788.0,7854.0
L1,17,P003657,8316.0,8316.0,8382.0
L1,18,P001199,8448.0,8448.0,8514.0
L1,19,P001118,8646.0,8646.0,8712.0
L1,20,P001479,9306.0,9306.0,9372.0
L1,21,P004058,9768.0,9768.0,9834.0
L1,22,P007105,10824.0,10824.0,10890.0
L1,23,P002472,11418.0,11418.0,11484.0
L1,24,P002712,12012.0,12012.0,12078.0
L1,25,P006904,12606.0,12606.0,12672.0
L1,26,P006189,12870.0,12870.0,12936.0
L1,27,P007260,13200.0,13200.0,13266.0
L1,28,P001443,14124.0,14124.0,14190.0
L1,29,P003661,14190.0,14190.0,14256.0
L1,30,P007636,15048.0,15048.0,15114.0
L1,31,P003080,15642.0,15642.0,15708.0
L1,32,P003535,15774.0,15774.0,15840.0
L1,33,P007335,16434.0,16434.0,16500.0
L1,34,P002185,16962.0,16962.0,17028.0
L1,35,P003359,17094.0,17094.0,17160.0
L1,36,P002471,17226.0,17226.0,17292.0
L1,37,P006144,17292.0,17292.0,17358.0
L1,38,P002926,17490.0,17490.0,17556.0
L1,39,P000267,17886.0,17886.0,17952.0
L1,40,P004062,17952.0,17952.0,18018.0
L1,41,P005854,18150.0,18150.0,18216.0
L1,42,P000023,18810.0,18810.0,18876.0
L1,43,P000883,19734.0,19734.0,19800.0
L1,44,P007033,20262.0,20262.0,20328.0
L1,45,P001418,20724.0,20724.0,20790.0
L1,46,P005817,21252.0,21252.0,21318.0
L1,47,P007022,21450.0,21450.0,21516.0
L1,48,P005068,21780.0,21780.0,21846.0
L1,49,P001214,21978.0,21978.0,22044.0
L1,50,P003570,22968.0,22968.0,23034.0
L1,51,P004631,23628.0,23628.0,23694.0
L1,52,P001445,23694.0,23694.0,23760.0
L1,53,P007117,23760.0,23760.0,23826.0
L1,54,P001730,24750.0,24750.0,24816.0
L1,55,P007346,25740.0,25740.0,25806.0
L1,56,P000169,26268.0,26268.0,26334.0
L1,57,P002122,26598.0,26598.0,26664.0
L1,58,P001218,27588.0,27588.0,27654.0
