task_id,plate_id,from,to,reason,estimated_seconds
R_L1_P002549_P002550_1,P002550,"{'area': 'B', 'stack_id': 'B-S040', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002551_2,P002551,"{'area': 'B', 'stack_id': 'B-S040', 'level': 7}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002552_3,P002552,"{'area': 'B', 'stack_id': 'B-S040', 'level': 8}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002553_4,P002553,"{'area': 'B', 'stack_id': 'B-S040', 'level': 9}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002554_5,P002554,"{'area': 'B', 'stack_id': 'B-S040', 'level': 10}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002555_6,P002555,"{'area': 'B', 'stack_id': 'B-S040', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002556_7,P002556,"{'area': 'B', 'stack_id': 'B-S040', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002557_8,P002557,"{'area': 'B', 'stack_id': 'B-S040', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002558_9,P002558,"{'area': 'B', 'stack_id': 'B-S040', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002559_10,P002559,"{'area': 'B', 'stack_id': 'B-S040', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002549_P002560_11,P002560,"{'area': 'B', 'stack_id': 'B-S040', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002532_12,P002532,"{'area': 'B', 'stack_id': 'B-S039', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002533_13,P002533,"{'area': 'B', 'stack_id': 'B-S039', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002534_14,P002534,"{'area': 'B', 'stack_id': 'B-S039', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002535_15,P002535,"{'area': 'B', 'stack_id': 'B-S039', 'level': 7}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002536_16,P002536,"{'area': 'B', 'stack_id': 'B-S039', 'level': 8}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002537_17,P002537,"{'area': 'B', 'stack_id': 'B-S039', 'level': 9}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002538_18,P002538,"{'area': 'B', 'stack_id': 'B-S039', 'level': 10}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002539_19,P002539,"{'area': 'B', 'stack_id': 'B-S039', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002540_20,P002540,"{'area': 'B', 'stack_id': 'B-S039', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002541_21,P002541,"{'area': 'B', 'stack_id': 'B-S039', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002542_22,P002542,"{'area': 'B', 'stack_id': 'B-S039', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002543_23,P002543,"{'area': 'B', 'stack_id': 'B-S039', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002531_P002544_24,P002544,"{'area': 'B', 'stack_id': 'B-S039', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005119_P005120_25,P005120,"{'area': 'C', 'stack_id': 'C-S080', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002126_P002127_26,P002127,"{'area': 'B', 'stack_id': 'B-S013', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002126_P002128_27,P002128,"{'area': 'B', 'stack_id': 'B-S013', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005038_P005039_28,P005039,"{'area': 'C', 'stack_id': 'C-S075', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005038_P005040_29,P005040,"{'area': 'C', 'stack_id': 'C-S075', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004789_30,P004789,"{'area': 'C', 'stack_id': 'C-S060', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004790_31,P004790,"{'area': 'C', 'stack_id': 'C-S060', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004791_32,P004791,"{'area': 'C', 'stack_id': 'C-S060', 'level': 7}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004792_33,P004792,"{'area': 'C', 'stack_id': 'C-S060', 'level': 8}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004793_34,P004793,"{'area': 'C', 'stack_id': 'C-S060', 'level': 9}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004794_35,P004794,"{'area': 'C', 'stack_id': 'C-S060', 'level': 10}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004795_36,P004795,"{'area': 'C', 'stack_id': 'C-S060', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004796_37,P004796,"{'area': 'C', 'stack_id': 'C-S060', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004797_38,P004797,"{'area': 'C', 'stack_id': 'C-S060', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004798_39,P004798,"{'area': 'C', 'stack_id': 'C-S060', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004799_40,P004799,"{'area': 'C', 'stack_id': 'C-S060', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004788_P004800_41,P004800,"{'area': 'C', 'stack_id': 'C-S060', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006271_P006272_42,P006272,"{'area': 'D', 'stack_id': 'D-S032', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002202_P002203_43,P002203,"{'area': 'B', 'stack_id': 'B-S018', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002202_P002204_44,P002204,"{'area': 'B', 'stack_id': 'B-S018', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002202_P002205_45,P002205,"{'area': 'B', 'stack_id': 'B-S018', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002202_P002206_46,P002206,"{'area': 'B', 'stack_id': 'B-S018', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002202_P002207_47,P002207,"{'area': 'B', 'stack_id': 'B-S018', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002202_P002208_48,P002208,"{'area': 'B', 'stack_id': 'B-S018', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000229_49,P000229,"{'area': 'A', 'stack_id': 'A-S015', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000230_50,P000230,"{'area': 'A', 'stack_id': 'A-S015', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000231_51,P000231,"{'area': 'A', 'stack_id': 'A-S015', 'level': 7}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000232_52,P000232,"{'area': 'A', 'stack_id': 'A-S015', 'level': 8}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000233_53,P000233,"{'area': 'A', 'stack_id': 'A-S015', 'level': 9}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000234_54,P000234,"{'area': 'A', 'stack_id': 'A-S015', 'level': 10}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000235_55,P000235,"{'area': 'A', 'stack_id': 'A-S015', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000236_56,P000236,"{'area': 'A', 'stack_id': 'A-S015', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000237_57,P000237,"{'area': 'A', 'stack_id': 'A-S015', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000238_58,P000238,"{'area': 'A', 'stack_id': 'A-S015', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000239_59,P000239,"{'area': 'A', 'stack_id': 'A-S015', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000228_P000240_60,P000240,"{'area': 'A', 'stack_id': 'A-S015', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003256_61,P003256,"{'area': 'B', 'stack_id': 'B-S084', 'level': 8}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003257_62,P003257,"{'area': 'B', 'stack_id': 'B-S084', 'level': 9}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003258_63,P003258,"{'area': 'B', 'stack_id': 'B-S084', 'level': 10}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003259_64,P003259,"{'area': 'B', 'stack_id': 'B-S084', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003260_65,P003260,"{'area': 'B', 'stack_id': 'B-S084', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003261_66,P003261,"{'area': 'B', 'stack_id': 'B-S084', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003262_67,P003262,"{'area': 'B', 'stack_id': 'B-S084', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003263_68,P003263,"{'area': 'B', 'stack_id': 'B-S084', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003255_P003264_69,P003264,"{'area': 'B', 'stack_id': 'B-S084', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004883_P004884_70,P004884,"{'area': 'C', 'stack_id': 'C-S066', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004883_P004885_71,P004885,"{'area': 'C', 'stack_id': 'C-S066', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004883_P004886_72,P004886,"{'area': 'C', 'stack_id': 'C-S066', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
