task_id,type,plate_id,crane_id,start_seconds,finish_seconds
OUT_L1_P000237_1,outbound,P000237,C1,0.0,66.0
OUT_L1_P000764_2,outbound,P000764,C1,66.0,132.0
OUT_L1_P002769_3,outbound,P002769,C1,132.0,198.0
OUT_L1_P004179_4,outbound,P004179,C1,198.0,264.0
OUT_L1_P000773_5,outbound,P000773,C1,264.0,330.0
OUT_L1_P001015_6,outbound,P001015,C1,330.0,396.0
OUT_L1_P002463_7,outbound,P002463,C1,396.0,462.0
OUT_L1_P009635_8,outbound,P009635,C1,462.0,528.0
OUT_L1_P004340_9,outbound,P004340,C1,528.0,594.0
OUT_L1_P007465_10,outbound,P007465,C1,594.0,660.0
OUT_L1_P006349_11,outbound,P006349,C1,660.0,726.0
OUT_L1_P005312_12,outbound,P005312,C1,726.0,792.0
OUT_L1_P009350_13,outbound,P009350,C1,792.0,858.0
OUT_L1_P002562_14,outbound,P002562,C1,858.0,924.0
OUT_L1_P001319_15,outbound,P001319,C1,924.0,990.0
OUT_L1_P002992_16,outbound,P002992,C1,990.0,1056.0
OUT_L1_P001452_17,outbound,P001452,C1,1056.0,1122.0
OUT_L1_P008857_18,outbound,P008857,C1,1122.0,1188.0
OUT_L1_P002361_19,outbound,P002361,C1,1188.0,1254.0
OUT_L1_P004176_20,outbound,P004176,C1,1254.0,1320.0
OUT_L1_P005080_21,outbound,P005080,C1,1320.0,1386.0
OUT_L1_P001646_22,outbound,P001646,C1,1386.0,1452.0
OUT_L1_P000970_23,outbound,P000970,C1,1452.0,1518.0
OUT_L1_P007454_24,outbound,P007454,C1,1518.0,1584.0
OUT_L1_P009816_25,outbound,P009816,C1,1584.0,1650.0
OUT_L1_P005784_26,outbound,P005784,C1,1650.0,1716.0
OUT_L1_P002208_27,outbound,P002208,C1,1716.0,1782.0
OUT_L1_P004523_28,outbound,P004523,C1,1782.0,1848.0
OUT_L1_P004034_29,outbound,P004034,C1,1848.0,1914.0
OUT_L1_P004812_30,outbound,P004812,C1,1914.0,1980.0
OUT_L1_P004041_31,outbound,P004041,C1,1980.0,2046.0
OUT_L1_P000045_32,outbound,P000045,C1,2046.0,2112.0
OUT_L1_P006895_33,outbound,P006895,C1,2112.0,2178.0
OUT_L1_P009304_34,outbound,P009304,C1,2178.0,2244.0
OUT_L1_P003813_35,outbound,P003813,C1,2244.0,2310.0
OUT_L1_P006705_36,outbound,P006705,C1,2310.0,2376.0
OUT_L1_P004578_37,outbound,P004578,C1,2376.0,2442.0
OUT_L1_P000494_38,outbound,P000494,C1,2442.0,2508.0
OUT_L1_P005947_39,outbound,P005947,C1,2508.0,2574.0
OUT_L1_P009846_40,outbound,P009846,C1,2574.0,2640.0
OUT_L1_P006596_41,outbound,P006596,C1,2640.0,2706.0
OUT_L1_P009551_42,outbound,P009551,C1,2706.0,2772.0
OUT_L1_P001739_43,outbound,P001739,C1,2772.0,2838.0
OUT_L1_P000081_44,outbound,P000081,C1,2838.0,2904.0
OUT_L1_P001766_45,outbound,P001766,C1,2904.0,2970.0
OUT_L1_P006768_46,outbound,P006768,C1,2970.0,3036.0
OUT_L1_P009829_47,outbound,P009829,C1,3036.0,3102.0
OUT_L1_P009194_48,outbound,P009194,C1,3102.0,3168.0
OUT_L1_P002304_49,outbound,P002304,C1,3168.0,3234.0
OUT_L1_P005804_50,outbound,P005804,C1,3234.0,3300.0
OUT_L1_P001832_51,outbound,P001832,C1,3300.0,3366.0
OUT_L1_P000546_52,outbound,P000546,C1,3366.0,3432.0
OUT_L1_P005806_53,outbound,P005806,C1,3432.0,3498.0
OUT_L1_P005698_54,outbound,P005698,C1,3498.0,3564.0
OUT_L1_P005856_55,outbound,P005856,C1,3564.0,3630.0
OUT_L1_P002612_56,outbound,P002612,C1,3630.0,3696.0
R_L1_P002506_P004179_1,relocate,P004179,C1,3696.0,3762.0
OUT_L1_P002506_57,outbound,P002506,C1,3762.0,3828.0
R_L1_P005606_P003209_2,relocate,P003209,C1,3828.0,3894.0
OUT_L1_P005606_58,outbound,P005606,C1,3894.0,3960.0
R_L1_P002520_P005585_3,relocate,P005585,C1,3960.0,4026.0
OUT_L1_P002520_59,outbound,P002520,C1,4026.0,4092.0
R_L1_P006149_P002273_4,relocate,P002273,C1,4092.0,4158.0
OUT_L1_P006149_60,outbound,P006149,C1,4158.0,4224.0
R_L1_P002967_P002447_5,relocate,P002447,C1,4224.0,4290.0
OUT_L1_P002967_61,outbound,P002967,C1,4290.0,4356.0
R_L1_P004533_P003772_6,relocate,P003772,C1,4356.0,4422.0
OUT_L1_P004533_62,outbound,P004533,C1,4422.0,4488.0
R_L1_P000889_P001191_7,relocate,P001191,C1,4488.0,4554.0
OUT_L1_P000889_63,outbound,P000889,C1,4554.0,4620.0
R_L1_P001529_P006309_8,relocate,P006309,C1,4620.0,4686.0
OUT_L1_P001529_64,outbound,P001529,C1,4686.0,4752.0
R_L1_P003706_P003546_9,relocate,P003546,C1,4752.0,4818.0
OUT_L1_P003706_65,outbound,P003706,C1,4818.0,4884.0
R_L1_P008953_P006596_10,relocate,P006596,C1,4884.0,4950.0
OUT_L1_P008953_66,outbound,P008953,C1,4950.0,5016.0
R_L1_P005456_P006239_11,relocate,P006239,C1,5016.0,5082.0
OUT_L1_P005456_67,outbound,P005456,C1,5082.0,5148.0
R_L1_P001997_P005845_12,relocate,P005845,C1,5148.0,5214.0
OUT_L1_P001997_68,outbound,P001997,C1,5214.0,5280.0
R_L1_P002808_P006916_13,relocate,P006916,C1,5280.0,5346.0
OUT_L1_P002808_69,outbound,P002808,C1,5346.0,5412.0
R_L1_P009999_P002808_14,relocate,P002808,C1,5412.0,5478.0
OUT_L1_P009999_70,outbound,P009999,C1,5478.0,5544.0
R_L1_P008490_P008548_15,relocate,P008548,C1,5544.0,5610.0
OUT_L1_P008490_71,outbound,P008490,C1,5610.0,5676.0
R_L1_P002195_P001411_16,relocate,P001411,C1,5676.0,5742.0
OUT_L1_P002195_72,outbound,P002195,C1,5742.0,5808.0
R_L1_P007729_P004273_17,relocate,P004273,C1,5808.0,5874.0
OUT_L1_P007729_73,outbound,P007729,C1,5874.0,5940.0
R_L1_P005616_P007729_18,relocate,P007729,C1,5940.0,6006.0
OUT_L1_P005616_74,outbound,P005616,C1,6006.0,6072.0
R_L1_P007576_P008624_19,relocate,P008624,C1,6072.0,6138.0
