cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,1,P000237,0.0,0.0,66.0
L1,2,P000764,66.0,66.0,132.0
L1,3,P002769,132.0,132.0,198.0
L1,4,P004179,198.0,198.0,264.0
L1,5,P000773,264.0,264.0,330.0
L1,6,P001015,330.0,330.0,396.0
L1,7,P002463,396.0,396.0,462.0
L1,8,P009635,462.0,462.0,528.0
L1,9,P004340,528.0,528.0,594.0
L1,10,P007465,594.0,594.0,660.0
L1,11,P006349,660.0,660.0,726.0
L1,12,P005312,726.0,726.0,792.0
L1,13,P009350,792.0,792.0,858.0
L1,14,P002562,858.0,858.0,924.0
L1,15,P001319,924.0,924.0,990.0
L1,16,P002992,990.0,990.0,1056.0
L1,17,P001452,1056.0,1056.0,1122.0
L1,18,P008857,1122.0,1122.0,1188.0
L1,19,P002361,1188.0,1188.0,1254.0
L1,20,P004176,1254.0,1254.0,1320.0
L1,21,P005080,1320.0,1320.0,1386.0
L1,22,P001646,1386.0,1386.0,1452.0
L1,23,P000970,1452.0,1452.0,1518.0
L1,24,P007454,1518.0,1518.0,1584.0
L1,25,P009816,1584.0,1584.0,1650.0
L1,26,P005784,1650.0,1650.0,1716.0
L1,27,P002208,1716.0,1716.0,1782.0
L1,28,P004523,1782.0,1782.0,1848.0
L1,29,P004034,1848.0,1848.0,1914.0
L1,30,P004812,1914.0,1914.0,1980.0
L1,31,P004041,1980.0,1980.0,2046.0
L1,32,P000045,2046.0,2046.0,2112.0
L1,33,P006895,2112.0,2112.0,2178.0
L1,34,P009304,2178.0,2178.0,2244.0
L1,35,P003813,2244.0,2244.0,2310.0
L1,36,P006705,2310.0,2310.0,2376.0
L1,37,P004578,2376.0,2376.0,2442.0
L1,38,P000494,2442.0,2442.0,2508.0
L1,39,P005947,2508.0,2508.0,2574.0
L1,40,P009846,2574.0,2574.0,2640.0
L1,41,P006596,2640.0,2640.0,2706.0
L1,42,P009551,2706.0,2706.0,2772.0
L1,43,P001739,2772.0,2772.0,2838.0
L1,44,P000081,2838.0,2838.0,2904.0
L1,45,P001766,2904.0,2904.0,2970.0
L1,46,P006768,2970.0,2970.0,3036.0
L1,47,P009829,3036.0,3036.0,3102.0
L1,48,P009194,3102.0,3102.0,3168.0
L1,49,P002304,3168.0,3168.0,3234.0
L1,50,P005804,3234.0,3234.0,3300.0
L1,51,P001832,3300.0,3300.0,3366.0
L1,52,P000546,3366.0,3366.0,3432.0
L1,53,P005806,3432.0,3432.0,3498.0
L1,54,P005698,3498.0,3498.0,3564.0
L1,55,P005856,3564.0,3564.0,3630.0
L1,56,P002612,3630.0,3630.0,3696.0
L1,57,P002506,3762.0,3762.0,3828.0
L1,58,P005606,3894.0,3894.0,3960.0
L1,59,P002520,4026.0,4026.0,4092.0
L1,60,P006149,4158.0,4158.0,4224.0
L1,61,P002967,4290.0,4290.0,4356.0
L1,62,P004533,4422.0,4422.0,4488.0
L1,63,P000889,4554.0,4554.0,4620.0
L1,64,P001529,4686.0,4686.0,4752.0
L1,65,P003706,4818.0,4818.0,4884.0
L1,66,P008953,4950.0,4950.0,5016.0
L1,67,P005456,5082.0,5082.0,5148.0
L1,68,P001997,5214.0,5214.0,5280.0
L1,69,P002808,5346.0,5346.0,5412.0
L1,70,P009999,5478.0,5478.0,5544.0
L1,71,P008490,5610.0,5610.0,5676.0
L1,72,P002195,5742.0,5742.0,5808.0
L1,73,P007729,5874.0,5874.0,5940.0
L1,74,P005616,6006.0,6006.0,6072.0
L1,75,P007576,6138.0,6138.0,6204.0
L1,76,P001534,6270.0,6270.0,6336.0
L1,77,P002802,6402.0,6402.0,6468.0
L1,78,P001065,6534.0,6534.0,6600.0
L1,79,P007708,6666.0,6666.0,6732.0
L1,80,P008807,6798.0,6798.0,6864.0
L1,81,P003557,6930.0,6930.0,6996.0
L1,82,P006698,7062.0,7062.0,7128.0
L1,83,P006951,7194.0,7194.0,7260.0
L1,84,P004173,7326.0,7326.0,7392.0
L1,85,P009896,7458.0,7458.0,7524.0
L1,86,P002706,7590.0,7590.0,7656.0
L1,87,P000447,7722.0,7722.0,7788.0
L1,88,P006199,7854.0,7854.0,7920.0
L1,89,P003991,7986.0,7986.0,8052.0
L1,90,P003468,8118.0,8118.0,8184.0
L1,91,P003323,8250.0,8250.0,8316.0
L1,92,P006269,8382.0,8382.0,8448.0
L1,93,P008577,8514.0,8514.0,8580.0
L1,94,P004124,8646.0,8646.0,8712.0
L1,95,P001351,8778.0,8778.0,8844.0
L1,96,P008080,8910.0,8910.0,8976.0
L1,97,P005969,9042.0,9042.0,9108.0
L1,98,P002421,9174.0,9174.0,9240.0
L1,99,P008612,9306.0,9306.0,9372.0
L1,100,P005376,9438.0,9438.0,9504.0
L1,101,P005161,9570.0,9570.0,9636.0
L1,102,P008110,9702.0,9702.0,9768.0
L1,103,P006072,9834.0,9834.0,9900.0
L1,104,P003887,9966.0,9966.0,10032.0
L1,105,P004130,10098.0,10098.0,10164.0
L1,106,P005977,10230.0,10230.0,10296.0
L1,107,P006006,10362.0,10362.0,10428.0
L1,108,P009587,10494.0,10494.0,10560.0
L1,109,P001919,10626.0,10626.0,10692.0
L1,110,P008101,10758.0,10758.0,10824.0
L1,111,P002731,10890.0,10890.0,10956.0
L1,112,P000707,11022.0,11022.0,11088.0
L1,113,P005346,11154.0,11154.0,11220.0
L1,114,P001545,11286.0,11286.0,11352.0
L1,115,P009515,11418.0,11418.0,11484.0
L1,116,P006020,11550.0,11550.0,11616.0
L1,117,P008894,11682.0,11682.0,11748.0
L1,118,P006311,11814.0,11814.0,11880.0
L1,119,P000927,11946.0,11946.0,12012.0
L1,120,P001152,12078.0,12078.0,12144.0
L1,121,P007501,12210.0,12210.0,12276.0
L1,122,P002249,12342.0,12342.0,12408.0
L1,123,P003282,12474.0,12474.0,12540.0
L1,124,P001518,12606.0,12606.0,12672.0
L1,125,P005802,12738.0,12738.0,12804.0
L1,126,P007668,12870.0,12870.0,12936.0
L1,127,P002965,13002.0,13002.0,13068.0
L1,128,P000730,13134.0,13134.0,13200.0
L1,129,P003489,13332.0,13332.0,13398.0
L1,130,P008870,13530.0,13530.0,13596.0
L1,131,P001678,13728.0,13728.0,13794.0
L1,132,P005818,13926.0,13926.0,13992.0
L1,133,P002441,14124.0,14124.0,14190.0
L1,134,P008672,14322.0,14322.0,14388.0
L1,135,P001477,14520.0,14520.0,14586.0
L1,136,P001672,14718.0,14718.0,14784.0
L1,137,P002669,14916.0,14916.0,14982.0
L1,138,P003158,15114.0,15114.0,15180.0
L1,139,P006778,15312.0,15312.0,15378.0
L1,140,P001963,15444.0,15444.0,15510.0
L1,141,P009672,15642.0,15642.0,15708.0
L1,142,P006792,15840.0,15840.0,15906.0
L1,143,P004869,15972.0,15972.0,16038.0
L1,144,P006996,16170.0,16170.0,16236.0
L1,145,P005391,16368.0,16368.0,16434.0
L1,146,P005299,16566.0,16566.0,16632.0
L1,147,P009660,16764.0,16764.0,16830.0
L1,148,P008291,16962.0,16962.0,17028.0
L1,149,P005029,17160.0,17160.0,17226.0
L1,150,P000698,17292.0,17292.0,17358.0
L1,151,P004900,17490.0,17490.0,17556.0
L1,152,P003579,17622.0,17622.0,17688.0
L1,153,P006019,17820.0,17820.0,17886.0
L1,154,P000717,17952.0,17952.0,18018.0
L1,155,P004539,18150.0,18150.0,18216.0
L1,156,P001393,18348.0,18348.0,18414.0
L1,157,P002278,18546.0,18546.0,18612.0
L1,158,P001458,18744.0,18744.0,18810.0
L1,159,P006401,18942.0,18942.0,19008.0
L1,160,P002602,19140.0,19140.0,19206.0
L1,161,P006968,19338.0,19338.0,19404.0
L1,162,P004191,19536.0,19536.0,19602.0
L1,163,P009712,19734.0,19734.0,19800.0
L1,164,P003287,19932.0,19932.0,19998.0
L1,165,P006442,20130.0,20130.0,20196.0
L1,166,P009525,20328.0,20328.0,20394.0
L1,167,P003596,20526.0,20526.0,20592.0
L1,168,P000948,20724.0,20724.0,20790.0
L1,169,P006626,20922.0,20922.0,20988.0
L1,170,P007792,21120.0,21120.0,21186.0
L1,171,P001076,21318.0,21318.0,21384.0
L1,172,P003973,21516.0,21516.0,21582.0
L1,173,P002714,21648.0,21648.0,21714.0
L1,174,P003450,21846.0,21846.0,21912.0
L1,175,P004835,22044.0,22044.0,22110.0
L1,176,P009244,22176.0,22176.0,22242.0
L1,177,P000814,22374.0,22374.0,22440.0
L1,178,P009649,22572.0,22572.0,22638.0
L1,179,P001221,22770.0,22770.0,22836.0
L1,180,P001240,22968.0,22968.0,23034.0
L1,181,P006306,23166.0,23166.0,23232.0
L1,182,P006302,23364.0,23364.0,23430.0
L1,183,P009562,23562.0,23562.0,23628.0
L1,184,P005046,23760.0,23760.0,23826.0
L1,185,P008054,23958.0,23958.0,24024.0
L1,186,P008452,24156.0,24156.0,24222.0
L1,187,P000575,24288.0,24288.0,24354.0
L1,188,P008280,24486.0,24486.0,24552.0
L1,189,P007167,24684.0,24684.0,24750.0
L1,190,P004945,24882.0,24882.0,24948.0
L1,191,P004607,25080.0,25080.0,25146.0
L1,192,P000167,25278.0,25278.0,25344.0
L1,193,P004206,25476.0,25476.0,25542.0
L1,194,P003240,25608.0,25608.0,25674.0
L1,195,P007451,25806.0,25806.0,25872.0
L1,196,P000624,26070.0,26070.0,26136.0
L1,197,P009717,26202.0,26202.0,26268.0
L1,198,P007788,26466.0,26466.0,26532.0
L1,199,P007008,26730.0,26730.0,26796.0
L1,200,P006361,26994.0,26994.0,27060.0
L1,201,P008483,27258.0,27258.0,27324.0
L1,202,P003676,27522.0,27522.0,27588.0
