task_id,plate_id,from,to,reason,estimated_seconds
R_L1_P002506_P004179_1,P004179,"{'area': 'C', 'stack_id': 'C-S043', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005606_P003209_2,P003209,"{'area': 'B', 'stack_id': 'B-S074', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002520_P005585_3,P005585,"{'area': 'D', 'stack_id': 'D-S089', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006149_P002273_4,P002273,"{'area': 'A', 'stack_id': 'A-S039', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002967_P002447_5,P002447,"{'area': 'A', 'stack_id': 'A-S057', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004533_P003772_6,P003772,"{'area': 'D', 'stack_id': 'D-S004', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P000889_P001191_7,P001191,"{'area': 'C', 'stack_id': 'C-S114', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P001529_P006309_8,P006309,"{'area': 'B', 'stack_id': 'B-S038', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003706_P003546_9,P003546,"{'area': 'C', 'stack_id': 'C-S095', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008953_P006596_10,P006596,"{'area': 'B', 'stack_id': 'B-S014', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005456_P006239_11,P006239,"{'area': 'A', 'stack_id': 'A-S002', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P001997_P005845_12,P005845,"{'area': 'B', 'stack_id': 'B-S047', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002808_P006916_13,P006916,"{'area': 'C', 'stack_id': 'C-S027', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
