task_id,type,plate_id,crane_id,start_seconds,finish_seconds
OUT_L1_P000045_1,outbound,P000045,C1,0.0,66.0
OUT_L1_P001739_2,outbound,P001739,C1,111.0,177.0
R_L1_P006072_P002105_1,relocate,P002105,C1,177.0,243.0
OUT_L1_P006072_3,outbound,P006072,C1,243.0,309.0
R_L1_P001152_P008147_2,relocate,P008147,C1,309.0,375.0
OUT_L1_P001152_4,outbound,P001152,C1,375.0,441.0
R_L1_P006149_P002273_3,relocate,P002273,C1,441.0,507.0
OUT_L1_P006149_5,outbound,P006149,C1,507.0,573.0
R_L1_P007167_P002352_4,relocate,P002352,C1,573.0,639.0
R_L1_P007167_P000140_5,relocate,P000140,C1,639.0,705.0
OUT_L1_P007167_6,outbound,P007167,C1,705.0,771.0
R_L1_P003676_P008770_6,relocate,P008770,C1,771.0,837.0
R_L1_P003676_P000133_7,relocate,P000133,C1,837.0,903.0
R_L1_P003676_P007306_8,relocate,P007306,C1,903.0,969.0
OUT_L1_P003676_7,outbound,P003676,C1,969.0,1035.0
R_L1_P004599_P005209_9,relocate,P005209,C1,1035.0,1101.0
R_L1_P004599_P004915_10,relocate,P004915,C1,1101.0,1167.0
R_L1_P004599_P001440_11,relocate,P001440,C1,1167.0,1233.0
OUT_L1_P004599_8,outbound,P004599,C1,1233.0,1299.0
R_L1_P006688_P007921_12,relocate,P007921,C1,1299.0,1365.0
R_L1_P006688_P008978_13,relocate,P008978,C1,1365.0,1431.0
R_L1_P006688_P005724_14,relocate,P005724,C1,1431.0,1497.0
OUT_L1_P006688_9,outbound,P006688,C1,1497.0,1563.0
R_L1_P002278_P001758_15,relocate,P001758,C1,1563.0,1629.0
R_L1_P002278_P002241_16,relocate,P002241,C1,1629.0,1695.0
OUT_L1_P002278_10,outbound,P002278,C1,1695.0,1761.0
R_L1_P009784_P003249_17,relocate,P003249,C1,1761.0,1827.0
R_L1_P009784_P003544_18,relocate,P003544,C1,1827.0,1893.0
R_L1_P009784_P004108_19,relocate,P004108,C1,1893.0,1959.0
OUT_L1_P009784_11,outbound,P009784,C1,1959.0,2025.0
R_L1_P002913_P002422_20,relocate,P002422,C1,2025.0,2091.0
R_L1_P002913_P009889_21,relocate,P009889,C1,2091.0,2157.0
R_L1_P002913_P009261_22,relocate,P009261,C1,2157.0,2223.0
R_L1_P002913_P009479_23,relocate,P009479,C1,2223.0,2289.0
OUT_L1_P002913_12,outbound,P002913,C1,2289.0,2355.0
R_L1_P002973_P002325_24,relocate,P002325,C1,2355.0,2421.0
R_L1_P002973_P003746_25,relocate,P003746,C1,2421.0,2487.0
R_L1_P002973_P006410_26,relocate,P006410,C1,2487.0,2553.0
R_L1_P002973_P003582_27,relocate,P003582,C1,2553.0,2619.0
OUT_L1_P002973_13,outbound,P002973,C1,2619.0,2685.0
R_L1_P003411_P005395_28,relocate,P005395,C1,2685.0,2751.0
R_L1_P003411_P001035_29,relocate,P001035,C1,2751.0,2817.0
R_L1_P003411_P008606_30,relocate,P008606,C1,2817.0,2883.0
R_L1_P003411_P000536_31,relocate,P000536,C1,2883.0,2949.0
OUT_L1_P003411_14,outbound,P003411,C1,2949.0,3015.0
R_L1_P006006_P007193_32,relocate,P007193,C1,3015.0,3081.0
OUT_L1_P006006_15,outbound,P006006,C1,3081.0,3147.0
R_L1_P004835_P009124_33,relocate,P009124,C1,3147.0,3213.0
R_L1_P004835_P006349_34,relocate,P006349,C1,3213.0,3279.0
OUT_L1_P004835_16,outbound,P004835,C1,3279.0,3345.0
R_L1_P008146_P003410_35,relocate,P003410,C1,3345.0,3411.0
R_L1_P008146_P000162_36,relocate,P000162,C1,3411.0,3477.0
R_L1_P008146_P007762_37,relocate,P007762,C1,3477.0,3543.0
R_L1_P008146_P004877_38,relocate,P004877,C1,3543.0,3609.0
OUT_L1_P008146_17,outbound,P008146,C1,3609.0,3675.0
R_L1_P008291_P009269_39,relocate,P009269,C1,3675.0,3741.0
R_L1_P008291_P009660_40,relocate,P009660,C1,3741.0,3807.0
R_L1_P008291_P007787_41,relocate,P007787,C1,3807.0,3873.0
R_L1_P008291_P002035_42,relocate,P002035,C1,3873.0,3939.0
OUT_L1_P008291_18,outbound,P008291,C1,3939.0,4005.0
R_L1_P002467_P000722_43,relocate,P000722,C1,4005.0,4071.0
R_L1_P002467_P002482_44,relocate,P002482,C1,4071.0,4137.0
