cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,1,P000045,0.0,0.0,66.0
L1,2,P001739,111.0,111.0,177.0
L1,3,P006072,243.0,243.0,309.0
L1,4,P001152,375.0,375.0,441.0
L1,5,P006149,507.0,507.0,573.0
L1,6,P007167,705.0,705.0,771.0
L1,7,P003676,969.0,969.0,1035.0
L1,8,P004599,1233.0,1233.0,1299.0
L1,9,P006688,1497.0,1497.0,1563.0
L1,10,P002278,1695.0,1695.0,1761.0
L1,11,P009784,1959.0,1959.0,2025.0
L1,12,P002913,2289.0,2289.0,2355.0
L1,13,P002973,2619.0,2619.0,2685.0
L1,14,P003411,2949.0,2949.0,3015.0
L1,15,P006006,3081.0,3081.0,3147.0
L1,16,P004835,3279.0,3279.0,3345.0
L1,17,P008146,3609.0,3609.0,3675.0
L1,18,P008291,3939.0,3939.0,4005.0
L1,19,P002467,4335.0,4335.0,4401.0
L1,20,P002823,4731.0,4731.0,4797.0
L1,21,P006019,5127.0,5127.0,5193.0
L1,22,P007157,5523.0,5523.0,5589.0
L1,23,P008029,5919.0,5919.0,5985.0
L1,24,P003280,6381.0,6381.0,6447.0
L1,25,P005134,6843.0,6843.0,6909.0
L1,26,P000508,7305.0,7305.0,7371.0
L1,27,P001776,7569.0,7569.0,7635.0
L1,28,P009846,7680.0,7680.0,7746.0
L1,29,P005805,8142.0,8142.0,8208.0
L1,30,P002965,8274.0,8274.0,8340.0
L1,31,P002907,8736.0,8736.0,8802.0
L1,32,P005345,9000.0,9000.0,9066.0
L1,33,P001752,9528.0,9528.0,9594.0
L1,34,P002777,10056.0,10056.0,10122.0
L1,35,P002706,10188.0,10188.0,10254.0
L1,36,P006020,10299.0,10299.0,10365.0
L1,37,P003046,10827.0,10827.0,10893.0
L1,38,P001407,11091.0,11091.0,11157.0
L1,39,P007027,11619.0,11619.0,11685.0
L1,40,P008064,12147.0,12147.0,12213.0
L1,41,P001963,12411.0,12411.0,12477.0
L1,42,P008278,12939.0,12939.0,13005.0
L1,43,P006199,13071.0,13071.0,13137.0
L1,44,P000228,13665.0,13665.0,13731.0
L1,45,P002752,14061.0,14061.0,14127.0
L1,46,P009415,14391.0,14391.0,14457.0
L1,47,P006361,14787.0,14787.0,14853.0
L1,48,P002338,15381.0,15381.0,15447.0
L1,49,P002992,15492.0,15492.0,15558.0
L1,50,P003682,16086.0,16086.0,16152.0
L1,51,P005431,16680.0,16680.0,16746.0
L1,52,P005445,17274.0,17274.0,17340.0
L1,53,P001218,17472.0,17472.0,17538.0
L1,54,P005593,18066.0,18066.0,18132.0
L1,55,P008386,18462.0,18462.0,18528.0
L1,56,P001452,18573.0,18573.0,18639.0
L1,57,P005854,19167.0,19167.0,19233.0
L1,58,P008546,19431.0,19431.0,19497.0
L1,59,P001198,19695.0,19695.0,19761.0
L1,60,P004398,20289.0,20289.0,20355.0
L1,61,P005870,20883.0,20883.0,20949.0
L1,62,P002165,21213.0,21213.0,21279.0
L1,63,P007975,21807.0,21807.0,21873.0
L1,64,P002222,22467.0,22467.0,22533.0
L1,65,P002389,23127.0,23127.0,23193.0
L1,66,P000167,23325.0,23325.0,23391.0
L1,67,P009382,23589.0,23589.0,23655.0
L1,68,P003140,24249.0,24249.0,24315.0
L1,69,P005850,24909.0,24909.0,24975.0
L1,70,P002421,25107.0,25107.0,25173.0
L1,71,P009327,25371.0,25371.0,25437.0
L1,72,P007581,26031.0,26031.0,26097.0
L1,73,P009130,26691.0,26691.0,26757.0
L1,74,P009717,27351.0,27351.0,27417.0
L1,75,P000160,28077.0,28077.0,28143.0
L1,76,P001275,28407.0,28407.0,28473.0
L1,77,P001458,28605.0,28605.0,28671.0
L1,78,P001975,29331.0,29331.0,29397.0
L1,79,P007501,29463.0,29463.0,29529.0
L1,80,P005961,29991.0,29991.0,30057.0
L1,81,P002126,30717.0,30717.0,30783.0
L1,82,P008466,30981.0,30981.0,31047.0
L1,83,P004853,31245.0,31245.0,31311.0
L1,84,P002769,31356.0,31356.0,31422.0
L1,85,P006161,32016.0,32016.0,32082.0
L1,86,P003608,32742.0,32742.0,32808.0
L1,87,P009190,33138.0,33138.0,33204.0
L1,88,P009470,33600.0,33600.0,33666.0
L1,89,P004268,34326.0,34326.0,34392.0
L1,90,P001518,34524.0,34524.0,34590.0
L1,91,P004430,35250.0,35250.0,35316.0
L1,92,P007288,35580.0,35580.0,35646.0
L1,93,P004831,36306.0,36306.0,36372.0
L1,94,P000574,37098.0,37098.0,37164.0
L1,95,P005299,37209.0,37209.0,37275.0
L1,96,P004167,37605.0,37605.0,37671.0
L1,97,P009242,37869.0,37869.0,37935.0
L1,98,P007165,38397.0,38397.0,38463.0
L1,99,P005969,38508.0,38508.0,38574.0
L1,100,P003739,38619.0,38619.0,38685.0
L1,101,P009597,39279.0,39279.0,39345.0
L1,102,P003734,40005.0,40005.0,40071.0
L1,103,P001678,40203.0,40203.0,40269.0
L1,104,P008713,40929.0,40929.0,40995.0
L1,105,P000938,41721.0,41721.0,41787.0
L1,106,P001786,42513.0,42513.0,42579.0
L1,107,P000447,42645.0,42645.0,42711.0
L1,108,P005046,42843.0,42843.0,42909.0
L1,109,P001639,43503.0,43503.0,43569.0
L1,110,P002497,44295.0,44295.0,44361.0
L1,111,P005802,44427.0,44427.0,44493.0
L1,112,P004188,45219.0,45219.0,45285.0
L1,113,P004455,45681.0,45681.0,45747.0
L1,114,P004801,46473.0,46473.0,46539.0
L1,115,P004818,47265.0,47265.0,47331.0
L1,116,P002115,47727.0,47727.0,47793.0
L1,117,P002602,47925.0,47925.0,47991.0
L1,118,P009336,48717.0,48717.0,48783.0
L1,119,P004149,49377.0,49377.0,49443.0
L1,120,P004206,49575.0,49575.0,49641.0
L1,121,P005230,50103.0,50103.0,50169.0
L1,122,P004033,50697.0,50697.0,50763.0
L1,123,P001672,50895.0,50895.0,50961.0
L1,124,P002531,51621.0,51621.0,51687.0
L1,125,P003030,52149.0,52149.0,52215.0
L1,126,P008439,52875.0,52875.0,52941.0
L1,127,P002060,53205.0,53205.0,53271.0
L1,128,P005107,53667.0,53667.0,53733.0
L1,129,P002194,54525.0,54525.0,54591.0
L1,130,P005495,55383.0,55383.0,55449.0
L1,131,P002719,55494.0,55494.0,55560.0
L1,132,P006917,56352.0,56352.0,56418.0
L1,133,P006890,56748.0,56748.0,56814.0
L1,134,P000334,57342.0,57342.0,57408.0
