task_id,plate_id,from,to,reason,estimated_seconds
R_L1_P006072_P002105_1,P002105,"{'area': 'C', 'stack_id': 'C-S055', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P001152_P008147_2,P008147,"{'area': 'B', 'stack_id': 'B-S096', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006149_P002273_3,P002273,"{'area': 'A', 'stack_id': 'A-S039', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P007167_P002352_4,P002352,"{'area': 'D', 'stack_id': 'D-S098', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P007167_P000140_5,P000140,"{'area': 'D', 'stack_id': 'D-S098', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003676_P008770_6,P008770,"{'area': 'D', 'stack_id': 'D-S086', 'level': 17}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003676_P000133_7,P000133,"{'area': 'D', 'stack_id': 'D-S086', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003676_P007306_8,P007306,"{'area': 'D', 'stack_id': 'D-S086', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004599_P005209_9,P005209,"{'area': 'B', 'stack_id': 'B-S022', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004599_P004915_10,P004915,"{'area': 'B', 'stack_id': 'B-S022', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004599_P001440_11,P001440,"{'area': 'B', 'stack_id': 'B-S022', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006688_P007921_12,P007921,"{'area': 'C', 'stack_id': 'C-S085', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006688_P008978_13,P008978,"{'area': 'C', 'stack_id': 'C-S085', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006688_P005724_14,P005724,"{'area': 'C', 'stack_id': 'C-S085', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002278_P001758_15,P001758,"{'area': 'B', 'stack_id': 'B-S037', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002278_P002241_16,P002241,"{'area': 'B', 'stack_id': 'B-S037', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P009784_P003249_17,P003249,"{'area': 'A', 'stack_id': 'A-S022', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P009784_P003544_18,P003544,"{'area': 'A', 'stack_id': 'A-S022', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P009784_P004108_19,P004108,"{'area': 'A', 'stack_id': 'A-S022', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002913_P002422_20,P002422,"{'area': 'D', 'stack_id': 'D-S110', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002913_P009889_21,P009889,"{'area': 'D', 'stack_id': 'D-S110', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002913_P009261_22,P009261,"{'area': 'D', 'stack_id': 'D-S110', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002913_P009479_23,P009479,"{'area': 'D', 'stack_id': 'D-S110', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002973_P002325_24,P002325,"{'area': 'D', 'stack_id': 'D-S108', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002973_P003746_25,P003746,"{'area': 'D', 'stack_id': 'D-S108', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002973_P006410_26,P006410,"{'area': 'D', 'stack_id': 'D-S108', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002973_P003582_27,P003582,"{'area': 'D', 'stack_id': 'D-S108', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003411_P005395_28,P005395,"{'area': 'D', 'stack_id': 'D-S042', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003411_P001035_29,P001035,"{'area': 'D', 'stack_id': 'D-S042', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003411_P008606_30,P008606,"{'area': 'D', 'stack_id': 'D-S042', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003411_P000536_31,P000536,"{'area': 'D', 'stack_id': 'D-S042', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006006_P007193_32,P007193,"{'area': 'B', 'stack_id': 'B-S048', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004835_P009124_33,P009124,"{'area': 'C', 'stack_id': 'C-S007', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P004835_P006349_34,P006349,"{'area': 'C', 'stack_id': 'C-S007', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008146_P003410_35,P003410,"{'area': 'D', 'stack_id': 'D-S045', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008146_P000162_36,P000162,"{'area': 'D', 'stack_id': 'D-S045', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008146_P007762_37,P007762,"{'area': 'D', 'stack_id': 'D-S045', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008146_P004877_38,P004877,"{'area': 'D', 'stack_id': 'D-S045', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008291_P009269_39,P009269,"{'area': 'A', 'stack_id': 'A-S031', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008291_P009660_40,P009660,"{'area': 'A', 'stack_id': 'A-S031', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008291_P007787_41,P007787,"{'area': 'A', 'stack_id': 'A-S031', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P008291_P002035_42,P002035,"{'area': 'A', 'stack_id': 'A-S031', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002467_P000722_43,P000722,"{'area': 'D', 'stack_id': 'D-S040', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002467_P002482_44,P002482,"{'area': 'D', 'stack_id': 'D-S040', 'level': 17}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002467_P006365_45,P006365,"{'area': 'D', 'stack_id': 'D-S040', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002467_P002767_46,P002767,"{'area': 'D', 'stack_id': 'D-S040', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002467_P009025_47,P009025,"{'area': 'D', 'stack_id': 'D-S040', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002823_P007753_48,P007753,"{'area': 'B', 'stack_id': 'B-S011', 'level': 17}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002823_P005283_49,P005283,"{'area': 'B', 'stack_id': 'B-S011', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002823_P006384_50,P006384,"{'area': 'B', 'stack_id': 'B-S011', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002823_P006020_51,P006020,"{'area': 'B', 'stack_id': 'B-S011', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002823_P002915_52,P002915,"{'area': 'B', 'stack_id': 'B-S011', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006019_P003064_53,P003064,"{'area': 'C', 'stack_id': 'C-S102', 'level': 17}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P006019_P003579_54,P003579,"{'area': 'C', 'stack_id': 'C-S102', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
