task_id,type,plate_id,crane_id,start_seconds,finish_seconds
OUT_L2_P006_1,outbound,P006,C1,0.0,66.0
OUT_L2_P018_2,outbound,P018,C1,111.0,177.0
R_L2_P010_P011_1,relocate,P011,C1,177.0,243.0
R_L2_P010_P012_2,relocate,P012,C1,243.0,309.0
OUT_L2_P010_3,outbound,P010,C1,309.0,375.0
R_L2_P022_P023_3,relocate,P023,C1,375.0,441.0
R_L2_P022_P024_4,relocate,P024,C1,441.0,507.0
OUT_L2_P022_4,outbound,P022,C1,507.0,573.0
R_L2_P002_P003_5,relocate,P003,C1,573.0,639.0
R_L2_P002_P004_6,relocate,P004,C1,639.0,705.0
R_L2_P002_P005_7,relocate,P005,C1,705.0,771.0
R_L2_P002_P006_8,relocate,P006,C1,771.0,837.0
OUT_L2_P002_5,outbound,P002,C1,837.0,903.0
R_L2_P014_P015_9,relocate,P015,C1,903.0,969.0
R_L2_P014_P016_10,relocate,P016,C1,969.0,1035.0
R_L2_P014_P017_11,relocate,P017,C1,1035.0,1101.0
R_L2_P014_P018_12,relocate,P018,C1,1101.0,1167.0
OUT_L2_P014_6,outbound,P014,C1,1167.0,1233.0
OUT_L1_P005_1,outbound,P005,C1,1233.0,1299.0
OUT_L1_P017_2,outbound,P017,C1,1344.0,1410.0
R_L1_P001_P002_13,relocate,P002,C1,1410.0,1476.0
OUT_L1_P001_3,outbound,P001,C1,1476.0,1542.0
R_L1_P009_P010_14,relocate,P010,C1,1542.0,1608.0
OUT_L1_P009_4,outbound,P009,C1,1608.0,1674.0
R_L1_P013_P014_15,relocate,P014,C1,1674.0,1740.0
OUT_L1_P013_5,outbound,P013,C1,1740.0,1806.0
R_L1_P021_P022_16,relocate,P022,C1,1806.0,1872.0
OUT_L1_P021_6,outbound,P021,C1,1872.0,1938.0
OUT_L3_P003_1,outbound,P003,C1,1938.0,2004.0
OUT_L3_P011_2,outbound,P011,C1,2049.0,2115.0
OUT_L3_P015_3,outbound,P015,C1,2160.0,2226.0
OUT_L3_P023_4,outbound,P023,C1,2271.0,2337.0
R_L3_P007_P008_17,relocate,P008,C1,2337.0,2403.0
R_L3_P007_P009_18,relocate,P009,C1,2403.0,2469.0
OUT_L3_P007_5,outbound,P007,C1,2469.0,2535.0
R_L3_P019_P020_19,relocate,P020,C1,2535.0,2601.0
R_L3_P019_P021_20,relocate,P021,C1,2601.0,2667.0
OUT_L3_P019_6,outbound,P019,C1,2667.0,2733.0
OUT_L4_P004_1,outbound,P004,C1,2733.0,2799.0
OUT_L4_P008_2,outbound,P008,C1,2844.0,2910.0
OUT_L4_P012_3,outbound,P012,C1,2955.0,3021.0
OUT_L4_P016_4,outbound,P016,C1,3066.0,3132.0
OUT_L4_P020_5,outbound,P020,C1,3177.0,3243.0
OUT_L4_P024_6,outbound,P024,C1,3288.0,3354.0
