task_id,plate_id,from,to,reason,estimated_seconds
R_L2_P010_P011_1,P011,"{'area': 'A', 'stack_id': 'S2', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P010_P012_2,P012,"{'area': 'A', 'stack_id': 'S2', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P022_P023_3,P023,"{'area': 'A', 'stack_id': 'S4', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P022_P024_4,P024,"{'area': 'A', 'stack_id': 'S4', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P002_P003_5,P003,"{'area': 'A', 'stack_id': 'S1', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P002_P004_6,P004,"{'area': 'A', 'stack_id': 'S1', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P002_P005_7,P005,"{'area': 'A', 'stack_id': 'S1', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P002_P006_8,P006,"{'area': 'A', 'stack_id': 'S1', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P014_P015_9,P015,"{'area': 'A', 'stack_id': 'S3', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P014_P016_10,P016,"{'area': 'A', 'stack_id': 'S3', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P014_P017_11,P017,"{'area': 'A', 'stack_id': 'S3', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L2_P014_P018_12,P018,"{'area': 'A', 'stack_id': 'S3', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P001_P002_13,P002,"{'area': 'A', 'stack_id': 'S1', 'level': 2}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P009_P010_14,P010,"{'area': 'A', 'stack_id': 'S2', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P013_P014_15,P014,"{'area': 'A', 'stack_id': 'S3', 'level': 2}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P021_P022_16,P022,"{'area': 'A', 'stack_id': 'S4', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L3_P007_P008_17,P008,"{'area': 'A', 'stack_id': 'S2', 'level': 2}",{'buffer_id': 'BUF1'},unblock,66.0
R_L3_P007_P009_18,P009,"{'area': 'A', 'stack_id': 'S2', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
R_L3_P019_P020_19,P020,"{'area': 'A', 'stack_id': 'S4', 'level': 2}",{'buffer_id': 'BUF1'},unblock,66.0
R_L3_P019_P021_20,P021,"{'area': 'A', 'stack_id': 'S4', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
