cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,1,P005,66.0,66.0,132.0
L1,2,P017,198.0,198.0,264.0
L1,3,P009,462.0,462.0,528.0
L1,4,P021,726.0,726.0,792.0
L1,5,P001,1056.0,1056.0,1122.0
L1,6,P013,1386.0,1386.0,1452.0
L2,1,P002,1452.0,1452.0,1518.0
L2,2,P014,1518.0,1518.0,1584.0
L2,3,P010,1584.0,1584.0,1650.0
L2,4,P022,1650.0,1650.0,1716.0
L2,5,P006,1716.0,1716.0,1782.0
L2,6,P018,1782.0,1782.0,1848.0
L3,1,P003,1848.0,1848.0,1914.0
L3,2,P015,1914.0,1914.0,1980.0
L3,3,P011,1980.0,1980.0,2046.0
L3,4,P023,2046.0,2046.0,2112.0
L3,5,P007,2244.0,2244.0,2310.0
L3,6,P019,2442.0,2442.0,2508.0
L4,1,P008,2508.0,2508.0,2574.0
L4,2,P020,2574.0,2574.0,2640.0
L4,3,P004,2640.0,2640.0,2706.0
L4,4,P016,2706.0,2706.0,2772.0
L4,5,P012,2772.0,2772.0,2838.0
L4,6,P024,2838.0,2838.0,2904.0
