task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P001_P002_1,relocate,P002,C1,0.0,66.0
R_L1_P001_P003_2,relocate,P003,C1,66.0,132.0
R_L1_P001_P004_3,relocate,P004,C1,132.0,198.0
R_L1_P001_P005_4,relocate,P005,C1,198.0,264.0
R_L1_P001_P006_5,relocate,P006,C1,264.0,330.0
OUT_L1_P001_1,outbound,P001,C1,330.0,396.0
OUT_L1_P005_2,outbound,P005,C1,396.0,462.0
R_L1_P009_P010_6,relocate,P010,C1,462.0,528.0
R_L1_P009_P011_7,relocate,P011,C1,528.0,594.0
R_L1_P009_P012_8,relocate,P012,C1,594.0,660.0
OUT_L1_P009_3,outbound,P009,C1,660.0,726.0
R_L1_P013_P014_9,relocate,P014,C1,726.0,792.0
R_L1_P013_P015_10,relocate,P015,C1,792.0,858.0
R_L1_P013_P016_11,relocate,P016,C1,858.0,924.0
R_L1_P013_P017_12,relocate,P017,C1,924.0,990.0
R_L1_P013_P018_13,relocate,P018,C1,990.0,1056.0
OUT_L1_P013_4,outbound,P013,C1,1056.0,1122.0
OUT_L1_P017_5,outbound,P017,C1,1122.0,1188.0
R_L1_P021_P022_14,relocate,P022,C1,1188.0,1254.0
R_L1_P021_P023_15,relocate,P023,C1,1254.0,1320.0
R_L1_P021_P024_16,relocate,P024,C1,1320.0,1386.0
OUT_L1_P021_6,outbound,P021,C1,1386.0,1452.0
OUT_L2_P002_1,outbound,P002,C1,1452.0,1518.0
OUT_L2_P006_2,outbound,P006,C1,1518.0,1584.0
OUT_L2_P010_3,outbound,P010,C1,1584.0,1650.0
OUT_L2_P014_4,outbound,P014,C1,1650.0,1716.0
OUT_L2_P018_5,outbound,P018,C1,1716.0,1782.0
OUT_L2_P022_6,outbound,P022,C1,1782.0,1848.0
OUT_L3_P003_1,outbound,P003,C1,1848.0,1914.0
R_L3_P007_P008_17,relocate,P008,C1,1914.0,1980.0
R_L3_P007_P009_18,relocate,P009,C1,1980.0,2046.0
OUT_L3_P007_2,outbound,P007,C1,2046.0,2112.0
OUT_L3_P011_3,outbound,P011,C1,2112.0,2178.0
OUT_L3_P015_4,outbound,P015,C1,2178.0,2244.0
R_L3_P019_P020_19,relocate,P020,C1,2244.0,2310.0
R_L3_P019_P021_20,relocate,P021,C1,2310.0,2376.0
OUT_L3_P019_5,outbound,P019,C1,2376.0,2442.0
OUT_L3_P023_6,outbound,P023,C1,2442.0,2508.0
OUT_L4_P004_1,outbound,P004,C1,2508.0,2574.0
OUT_L4_P008_2,outbound,P008,C1,2574.0,2640.0
OUT_L4_P012_3,outbound,P012,C1,2640.0,2706.0
OUT_L4_P016_4,outbound,P016,C1,2706.0,2772.0
OUT_L4_P020_5,outbound,P020,C1,2772.0,2838.0
OUT_L4_P024_6,outbound,P024,C1,2838.0,2904.0
