cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,1,P001,330.0,330.0,396.0
L1,2,P005,396.0,396.0,462.0
L1,3,P009,660.0,660.0,726.0
L1,4,P013,1056.0,1056.0,1122.0
L1,5,P017,1122.0,1122.0,1188.0
L1,6,P021,1386.0,1386.0,1452.0
L2,1,P002,1452.0,1452.0,1518.0
L2,2,P006,1518.0,1518.0,1584.0
L2,3,P010,1584.0,1584.0,1650.0
L2,4,P014,1650.0,1650.0,1716.0
L2,5,P018,1716.0,1716.0,1782.0
L2,6,P022,1782.0,1782.0,1848.0
L3,1,P003,1848.0,1848.0,1914.0
L3,2,P007,2046.0,2046.0,2112.0
L3,3,P011,2112.0,2112.0,2178.0
L3,4,P015,2178.0,2178.0,2244.0
L3,5,P019,2376.0,2376.0,2442.0
L3,6,P023,2442.0,2442.0,2508.0
L4,1,P004,2508.0,2508.0,2574.0
L4,2,P008,2574.0,2574.0,2640.0
L4,3,P012,2640.0,2640.0,2706.0
L4,4,P016,2706.0,2706.0,2772.0
L4,5,P020,2772.0,2772.0,2838.0
L4,6,P024,2838.0,2838.0,2904.0
